%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555652363339067648,69,1555652363339067648,map,-0.000600366381566,-0.000158732010273,-0.00097167201747,0.0254266899885,-0.685136771807,-0.000475787171661,0.72797037095
1555652363379107840,70,1555652363379107840,map,-0.000606709000442,-0.000186638005245,-0.000963566137502,0.0254152022119,-0.685146514806,-0.000482827403575,0.72796159763
1555652363419077632,71,1555652363419077632,map,-0.000550332440758,-0.000136276030176,-0.000878767359592,0.0254560750798,-0.685145325728,-0.000513339258931,0.727961267759
1555652363459047680,72,1555652363459047680,map,-0.000505798346377,-0.000139614521344,-0.000828724887657,0.0254642087164,-0.685148420012,-0.000512572407977,0.727958071526
1555652363499087616,73,1555652363499087616,map,-0.00049280380356,-0.000103917627744,-0.000751951928766,0.0254751799071,-0.685159324093,-0.000505227062944,0.727947429807
1555652363539057408,74,1555652363539057408,map,-0.000505412049865,-8.01260238103e-05,-0.000660590309243,0.0254548811822,-0.685176069987,-0.000493388851817,0.727932386083
1555652363579027712,75,1555652363579027712,map,-0.000559180465607,-6.8522935474e-05,-0.000686581624537,0.0254315176441,-0.685177470188,-0.000462368424386,0.727931905107
1555652363618997504,76,1555652363618997504,map,-0.000540015605421,-1.94855763123e-05,-0.000560798230571,0.0254749003527,-0.685174829013,-0.000488562078898,0.7279328571
1555652363659037696,77,1555652363659037696,map,-0.000495867724645,-7.8209204012e-05,-0.000625060143384,0.0254814486432,-0.685157745314,-0.00049347617892,0.727948704438
1555652363699007488,78,1555652363699007488,map,-0.000464122538281,-7.76869658237e-05,-0.000579124990415,0.0254882805151,-0.685162932944,-0.000486578093155,0.72794358718
1555652363738977792,79,1555652363738977792,map,-0.000516172697089,-0.00014021558199,-0.000568798007774,0.0254469504127,-0.685176277286,-0.000462455061034,0.727932488555
1555652363779017728,80,1555652363779017728,map,-0.000572978869505,-0.00014109411784,-0.000568397228541,0.0254411839356,-0.685185803324,-0.000443986578324,0.727923734988
1555652363818987520,81,1555652363818987520,map,-0.000552515443027,-8.15650403038e-05,-0.000618338681518,0.0254724059258,-0.685162409537,-0.000473652547671,0.727944644013
1555652363858957568,82,1555652363858957568,map,-0.000579036957344,-0.000105859031612,-0.000603246212283,0.0254674153609,-0.685159717467,-0.000490624239958,0.72794734123
1555652363898997504,83,1555652363898997504,map,-0.000561694453146,-0.000158185615928,-0.000668033261728,0.0254612654417,-0.68515370566,-0.000494659497072,0.727953212023
1555652363938967808,84,1555652363938967808,map,-0.000608658937832,-0.000187848747851,-0.000650400628386,0.0254349078541,-0.685160111984,-0.000463635619937,0.727948124148
1555652363978937600,85,1555652363978937600,map,-0.000587655551127,-0.000167889690009,-0.000703593202843,0.0254143004784,-0.685155491393,-0.000434696250325,0.72795321071
1555652364018907648,86,1555652364018907648,map,-0.000489028934512,-0.000112822138732,-0.00069811728483,0.0254484981827,-0.685142863163,-0.000466615256804,0.727963881843
1555652364058947584,87,1555652364058947584,map,-0.000374225850101,-5.66401459737e-05,-0.000747781152423,0.0254622848869,-0.685131899013,-0.000462276042787,0.727973721575
1555652364098917376,88,1555652364098917376,map,-0.000310410789276,-7.82231876812e-05,-0.000722678563627,0.025458738847,-0.685135056932,-0.00047489073532,0.727970865391
1555652364138887680,89,1555652364138887680,map,-0.000310791103724,-0.000135371384539,-0.000715511266237,0.0254332250088,-0.685145687359,-0.000468014654838,0.727961756634
1555652364178927616,90,1555652364178927616,map,-0.000326989375389,-0.000122848461436,-0.000709902232752,0.0254101084299,-0.685153525227,-0.000441191731704,0.72795520371
1555652364218897664,91,1555652364218897664,map,-0.000241904412735,-8.43599462331e-05,-0.000756122900761,0.0254406829553,-0.685125669816,-0.000475489987399,0.72798033086
1555652364258867456,92,1555652364258867456,map,-0.000208605796348,-5.73875048618e-05,-0.000773283310706,0.0254620073573,-0.685121909826,-0.0004861287262,0.727983116931
1555652364298907392,93,1555652364298907392,map,-0.000203842511416,-8.25289671558e-05,-0.000816308017863,0.0254608255789,-0.685112793392,-0.000492100532967,0.727991733832
