#,timestamp,tx,ty,tz,qx,qy,qz,qw
1544591592.56592,3.5874094424,-0.714573146,0,0,0,0.12678033,0.9919308181,
1544591592.95899,3.595550617,-0.6888931683,0,0,0,0.2528729254,0.9674995006,
1544591593.27849,3.6050443768,-0.671455221,0,0,0,0.3578048341,0.9337963915,
1544591593.67138,3.6228895257,-0.6462828728,0,0,0,0.4651602325,0.885226501,
1544591594.07059,3.7081138538,-0.4809804368,0,0,0,0.5694061433,0.8220563509,
1544591594.38983,3.7528488491,-0.3151850777,0,0,0,0.6536668432,0.7567824377,
1544591594.70364,3.7599988137,-0.1628149305,0,0,0,0.7269931903,0.6866446688,
1544591595.02239,3.7376760866,0.0123239853,0,0,0,0.7939929413,0.6079269768,
1544591595.50172,3.6528502448,0.2371197521,0,0,0,0.8585852232,0.5126708636,
1544591596.0546,3.4945530788,0.4735245041,0,0,0,0.9065851385,0.4220229694,
1544591596.77297,3.2412573507,0.7370681806,0,0,0,0.937966062,0.346727078,
1544591597.72539,2.9439134037,1.0121031962,0,0,0,0.9427167401,0.3335942864,
1544591598.43774,2.6733767828,1.2426526703,0,0,0,0.9440423276,0.3298243226,
1544591599.15666,2.4088265556,1.4835132364,0,0,0,0.9433773349,0.331721576,
1544591599.86893,2.1401112152,1.7172123952,0,0,0,0.9399643574,0.3412726282,
1544591600.66095,1.8616959356,1.9933963585,0,0,0,0.9354554174,0.3534447086,
1544591601.37325,1.6084096143,2.2380421672,0,0,0,0.9283945484,0.3715959667,
1544591602.09143,1.3667703131,2.5032259535,0,0,0,0.9136035271,0.4066061919,
1544591602.72412,1.1625686892,2.7438372055,0,0,0,0.9033919434,0.4288158073,
1544591603.36312,0.974356052,2.998410272,0,0,0,0.8787454479,0.4772907268,
1544591603.9158,0.8377004628,3.2435892097,0,0,0,0.8527573443,0.5223072963,
1544591604.47475,0.7335846895,3.4825490765,0,0,0,0.8320238585,0.5547398479,
1544591605.42823,0.6439537129,3.7284084479,0,0,0,0.8216711223,0.5699618994,
1544591608.59572,0.5547354881,3.941410472,0,0,0,0.8788831997,0.477037023,
1544591609.39547,0.5539540849,3.9357880714,0,0,0,0.8141930982,0.5805941773,
1544591609.78709,0.5488390515,3.9326623311,0,0,0,0.7462948842,0.6656154639,
1544591610.7394,0.5529934982,3.9171275485,0,0,0,0.8162845857,0.5776499591,
1544591611.69107,0.5485993721,3.9146671179,0,0,0,0.8745238729,0.4849824695,
1544591612.72326,0.55316699,3.9148758671,0,0,0,0.8065990976,0.5910988883,
1544591614.30741,0.54235985,3.9521271408,0,0,0,0.8634745779,0.5043923605,
1544591617.96203,0.3858108974,4.1890936683,0,0,0,0.9045701648,0.4263247787,
1544591618.59425,0.1617266509,4.4161787519,0,0,0,0.9284941021,0.3713471453,
1544591619.47256,-0.0970643074,4.6399422638,0,0,0,0.9316257789,0.363419053,
1544591620.18511,-0.373740334,4.8669477109,0,0,0,0.9383221912,0.3457621516,
1544591620.89747,-0.6506523497,5.0916657835,0,0,0,0.9364932215,0.35068568,
1544591621.5315,-0.8836582277,5.2923627939,0,0,0,0.9255362065,0.3786591216,
1544591622.16893,-1.1036434943,5.5123339286,0,0,0,0.9147019068,0.4041292142,
1544591622.80135,-1.3118145603,5.7268552357,0,0,0,0.9072697657,0.4205491318,
1544591623.43391,-1.5101118908,5.9664699936,0,0,0,0.9037455572,0.4280700502,
1544591624.07326,-1.7120774122,6.1944378874,0,0,0,0.901311678,0.433171166,
1544591624.7053,-1.9026030959,6.4213258106,0,0,0,0.8973993956,0.4412191347,
1544591625.33857,-2.0926415259,6.6514332672,0,0,0,0.8940618528,0.447943527,
1544591625.89684,-2.2715725265,6.8568495283,0,0,0,0.8944229558,0.4472220658,
1544591626.44931,-2.425902563,7.0782012482,0,0,0,0.8920805219,0.4518764682,
1544591627.00868,-2.5995013574,7.2878277942,0,0,0,0.892697961,0.4506554674,
1544591627.56302,-2.7746896388,7.5042610452,0,0,0,0.8923003454,0.4514422372,
1544591628.4333,-2.9371290789,7.7099143054,0,0,0,0.8852585173,0.4650992986,
1544591629.54492,-3.0794899438,7.9343789716,0,0,0,0.861973928,0.5069526087,
1544591630.41098,-3.0794372341,7.933565764,0,0,0,0.9093905896,0.415943212,
1544591633.50656,-3.2176117705,8.0279673114,0,0,0,0.9488600549,0.3156970007,
1544591634.21872,-3.5316820597,8.2126143191,0,0,0,0.9691137538,0.2466141361,
1544591634.93746,-3.8501488862,8.347781215,0,0,0,0.973902899,0.2269650707,
1544591635.64978,-4.1769416008,8.4864872831,0,0,0,0.9738499275,0.2271922504,
1544591636.36413,-4.4819884082,8.6294992621,0,0,0,0.9698168259,0.2438346248,
1544591637.08081,-4.7889414501,8.7938990918,0,0,0,0.9680324752,0.250824893,
1544591638.11243,-5.1182674435,8.9433577389,0,0,0,0.9787440584,0.2050855144,
1544591639.45769,-5.3540165897,9.0100186302,0,0,0,0.9947795427,0.1020473485,
1544591640.40947,-5.640280857,9.0624929548,0,0,0,0.9968298097,0.0795633743,
1544591641.04844,-5.9096711911,9.1118423758,0,0,0,0.9961140602,0.0880725781,
1544591641.60728,-6.1757830738,9.1837449834,0,0,0,0.980766563,0.1951843971,
1544591642.2398,-6.4344123479,9.3400547193,0,0,0,0.9555211921,0.2949224497,
1544591642.95266,-6.7131911931,9.5530521781,0,0,0,0.9426370953,0.3338192722,
1544591643.58487,-6.952958757,9.7394070002,0,0,0,0.9431739298,0.3322994706,
1544591644.22346,-7.2093623843,9.9269734287,0,0,0,0.9490331254,0.3151763425,
1544591644.93619,-7.4861537201,10.1317251091,0,0,0,0.956605836,0.2913850968,
1544591646.12801,-7.7758414496,10.3203258937,0,0,0,0.9564665349,0.2918420251,
1544591653.50545,-7.9079453633,10.3914736217,0,0,0,0.9838925338,0.1787609633,
1544591653.89796,-7.9148492401,10.372293917,0,0,0,0.9988189331,0.0485874348,
1544591654.28956,-7.9022360577,10.3503728982,0,0,0,-0.9972056321,0.0747056037,
1544591654.68888,-7.906610703,10.3433406937,0,0,0,-0.9798563383,0.1997036713,
1544591655.00227,-7.9175879377,10.3348671687,0,0,0,-0.9532282762,0.3022513084,
1544591655.32128,-7.9109842203,10.3201348592,0,0,0,-0.9150634318,0.40330995,
1544591655.71489,-7.9008390342,10.3141806374,0,0,0,-0.8630857592,0.505057395,
1544591656.11387,-7.9120595201,10.2790430074,0,0,0,-0.7968778524,0.6041404542,
1544591656.51315,-7.9350057911,10.0990133964,0,0,0,-0.7220847639,0.6918045921,
1544591656.90608,-7.9140261337,9.9096795728,0,0,0,-0.6309513026,0.775822437,
1544591657.30543,-7.844347535,9.7255353509,0,0,0,-0.5427454383,0.8398972492,
1544591657.8643,-7.7062553446,9.4887079852,0,0,0,-0.466705206,0.8844129413,
1544591658.41734,-7.5412501317,9.2628631648,0,0,0,-0.4568687106,0.8895341372,
1544591658.97589,-7.3713396287,9.0314609007,0,0,0,-0.4641659509,0.8857482543,
1544591659.53468,-7.2192263717,8.799877977,0,0,0,-0.4810784797,0.8766775327,
1544591660.08751,-7.0881679834,8.5496631723,0,0,0,-0.505645515,0.8627413362,
1544591660.64034,-6.9530428196,8.3087026757,0,0,0,-0.515086885,0.8571379708,
1544591661.19936,-6.8141770786,8.0577377844,0,0,0,-0.5210733396,0.8535119066,
1544591661.7526,-6.6844224545,7.8080530745,0,0,0,-0.5238580403,0.8518055844,
1544591662.30456,-6.5536252272,7.5563419402,0,0,0,-0.5276568548,0.8494576173,
1544591662.86341,-6.4324100466,7.2968892029,0,0,0,-0.5298925302,0.8480648008,
1544591663.41663,-6.3041044713,7.0445825843,0,0,0,-0.5314195059,0.8471087939,
